"","newaggdeaths.country","aggdeaths.year","aggdeaths.AllDeaths","X.2"
"1",100,1985,4666,"1,837"
"2",100,1995,6174,"1,723"
"3",112,1995,1744,"1,412"
"4",124,1985,27984,"14,098"
"5",124,1995,43351,"20,594"
"6",136,1985,8,"21,544"
"7",136,1995,8,"40,930"
"8",144,1985,9434,"425"
"9",152,1985,2996,"1,559"
"10",152,1995,4831,"5,253"
"11",170,1985,8403,"1,590"
"12",170,1995,9575,"2,946"
"13",188,1985,467,"1,827"
"14",188,1995,889,"3,278"
"15",192,1985,2668,"2,273"
"16",192,1995,5064,"2,790"
"17",212,1985,27,"1,586"
"18",212,1995,77,"3,639"
"19",214,1985,1714,"866"
"20",214,1995,1972,"1,995"
"21",218,1985,2748,"1,895"
"22",218,1995,3446,"2,135"
"23",222,1995,1951,"1,590"
"24",233,1995,1113,"3,086"
"25",246,1995,6643,"26,215"
"26",250,1985,96357,"9,737"
"27",250,1995,109293,"26,707"
"28",268,1995,733,"539"
"29",276,1995,146290,"31,898"
"30",28,1985,32,"3,508"
"31",28,1995,62,"7,841"
"32",296,1995,57,"720"
"33",300,1985,12397,"4,794"
"34",300,1995,10854,"12,687"
"35",300,2005,12489,"21,925"
"36",300,2010,12858,"26,154"
"37",308,1985,66,"1,359"
"38",308,1995,48,"2,775"
"39",31,1995,1411,"396"
"40",32,1985,9594,"3,144"
"41",32,1995,17794,"7,993"
"42",320,1995,6706,"1,255"
"43",328,1995,606,"1,302"
"44",348,1985,15403,"2,244"
"45",348,1995,18005,"4,486"
"46",352,1985,148,"12,169"
"47",352,1995,243,"26,223"
"48",36,1985,16806,"11,584"
"49",36,1995,23969,"21,635"
"50",372,1985,3434,"5,974"
"51",372,1995,4384,"18,958"
"52",372,2005,5156,"50,236"
"53",376,1985,3309,"6,706"
"54",376,1995,5836,"18,793"
"55",380,1985,83634,"7,905"
"56",380,1995,105885,"20,449"
"57",388,1985,1203,"1,114"
"58",392,1985,90689,"11,476"
"59",398,1995,5019,"1,282"
"60",40,1985,10909,"9,112"
"61",40,1995,11703,"30,169"
"62",410,1985,19148,"2,457"
"63",414,1985,464,"12,333"
"64",417,1995,716,"327"
"65",428,1995,578,"2,154"
"66",44,1985,68,"12,271"
"67",44,1995,400,"18,264"
"68",440,1995,3369,"1,848"
"69",442,1985,509,"12,915"
"70",442,1995,556,"52,894"
"71",470,1985,489,"3,311"
"72",48,1985,54,"10,669"
"73",480,1985,677,"1,134"
"74",480,1995,749,"3,786"
"75",484,1985,35159,"2,903"
"76",484,1995,61100,"3,829"
"77",498,1995,1669,"407"
"78",51,1995,1074,"426"
"79",52,1985,255,"5,569"
"80",52,1995,461,"8,585"
"81",528,1985,18547,"9,911"
"82",528,1995,24768,"29,240"
"83",533,1995,93,"16,442"
"84",554,1985,3759,"7,376"
"85",554,1995,4956,"17,184"
"86",56,1985,7450,"8,746"
"87",56,1995,18122,"28,427"
"88",578,1995,6815,"34,813"
"89",591,1985,444,"2,621"
"90",60,1985,37,"24,241"
"91",60,1995,62,"40,780"
"92",600,1985,683,"1,094"
"93",600,1995,1054,"1,694"
"94",604,1995,4192,"2,220"
"95",608,1995,25437,"1,176"
"96",616,1985,12081,"1,975"
"97",616,1995,12637,"3,696"
"98",620,1985,9278,"2,716"
"99",620,1995,13512,"11,639"
"100",630,1985,1533,"6,106"
"101",630,1995,4803,"11,721"
"102",642,1985,7069,"2,196"
"103",642,1995,8437,"1,640"
"104",643,1995,28005,"2,713"
"105",659,1985,27,"2,524"
"106",659,1995,35,"6,987"
"107",660,1985,0,"4,072"
"108",660,1995,3,"10,583"
"109",662,1995,146,"4,199"
"110",674,1995,26,"39,407"
"111",674,2005,5,"69,338"
"112",678,1985,57,"759"
"113",690,1985,20,"2,922"
"114",702,1985,1788,"6,858"
"115",702,1995,1829,"25,265"
"116",702,2005,2081,"28,372"
"117",702,2010,2230,"46,592"
"118",705,1995,2815,"10,683"
"119",710,1995,26650,"3,741"
"120",724,1985,42487,"4,643"
"121",724,1995,66968,"15,366"
"122",740,1985,126,"3,221"
"123",752,1995,16178,"29,915"
"124",76,1985,36639,"1,382"
"125",76,1995,122738,"4,794"
"126",760,1985,1404,"944"
"127",762,1995,852,"211"
"128",762,2005,1109,"337"
"129",764,1985,7532,"775"
"130",780,1985,1109,"6,282"
"131",780,1995,1610,"4,235"
"132",795,1995,609,"520"
"133",796,1985,0,"6,142"
"134",796,1995,17,"12,425"
"135",8,1995,1120,"770"
"136",8,2005,1294,"2,615"
"137",8,2010,941,"4,056"
"138",804,1995,10086,"990"
"139",84,1995,70,"2,834"
"140",840,1985,274950,"18,017"
"141",840,1995,422942,"28,758"
"142",858,1985,1212,"1,735"
"143",858,1995,1770,"6,609"
"144",860,1995,4006,"589"
"145",92,1985,2,"3,396"
"146",92,1995,10,"21,114"
